행정구,고령층_증가율,장애인_증가율,저소득층_증가율,cluster,점포감소율
도봉구,4.706729595,-0.457347385,5.524918827,0,-24.0
강동구,4.901929517,0.773573071,5.612977318,0,-19.3
금천구,5.058232243,1.316547355,5.053921256,0,-8.16
구로구,3.758639708,1.662149031,5.582182126,0,-20.63
마포구,3.418609549,-2.967334386,2.044250021,1,-24.72
종로구,3.45448592,-1.850843767,2.960579244,1,-13.04
동대문구,3.516146993,-0.692840647,2.598876468,1,-8.16
성동구,3.368253547,-1.616715515,2.096759553,1,-11.32
동작구,3.307633923,-0.993305981,2.446845591,1,-17.78
은평구,4.139749635,-0.937278107,2.763757015,1,-5.41
노원구,3.636608785,-1.364240482,1.370428222,1,-13.21
용산구,-0.400123909,-3.77863731,2.595684039,2,-19.4
성북구,3.608062632,-0.910876942,3.500492662,3,-13.73
중랑구,5.013469705,-0.353779461,3.997985267,3,-20.0
광진구,4.620058836,-0.618005679,4.403363502,3,-22.0
중구,3.239044409,-2.783684516,4.470151385,3,-12.5
강서구,3.908974289,-0.642198543,3.5896573,3,-10.29
양천구,4.395079992,0.118946474,4.101208829,3,-16.95
서대문구,3.397319694,-1.333673123,3.704253582,3,-14.58
강북구,3.60717914,-0.985221675,4.967996428,3,-16.0
관악구,3.68702874,-0.382255306,4.153892171,3,-19.51
서초구,4.289720017,-0.880264079,4.357199592,3,-18.29
강남구,4.676646019,0.45193363,3.144938174,3,-11.45
영등포구,3.822308253,0.418607792,2.835110002,3,-18.94
송파구,3.599620558,-0.094255382,4.090450814,3,-22.56
